yourlist:M20200414DA437993067D6F64326E5E763500BDED121471F	isomap:M20200414DA437993067D6F64326E5E763500BDED121471F	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
ENSP00000313881		Q13064	MKRN3_HUMAN	reviewed	Probable E3 ubiquitin-protein ligase makorin-3 (EC 2.3.2.27) (RING finger protein 63) (RING-type E3 ubiquitin transferase makorin-3) (Zinc finger protein 127)	MKRN3 D15S9 RNF63 ZNF127	Homo sapiens (Human)	507
ENSP00000310375	ENSP00000310375 -> Q15049-1	Q15049	MLC1_HUMAN	reviewed	Membrane protein MLC1	MLC1 KIAA0027 WKL1	Homo sapiens (Human)	377
ENSP00000348157	ENSP00000348157 -> P58340-1	P58340	MLF1_HUMAN	reviewed	Myeloid leukemia factor 1 (Myelodysplasia-myeloid leukemia factor 1)	MLF1	Homo sapiens (Human)	268
ENSP00000281453	ENSP00000281453 -> Q71F23-1	Q71F23	CENPU_HUMAN	reviewed	Centromere protein U (CENP-U) (Centromere protein of 50 kDa) (CENP-50) (Interphase centromere complex protein 24) (KSHV latent nuclear antigen-interacting protein 1) (MLF1-interacting protein) (Polo-box-interacting protein 1)	CENPU ICEN24 KLIP1 MLF1IP PBIP1	Homo sapiens (Human)	418
ENSP00000203630		Q15773	MLF2_HUMAN	reviewed	Myeloid leukemia factor 2 (Myelodysplasia-myeloid leukemia factor 2)	MLF2	Homo sapiens (Human)	248
ENSP00000231790	ENSP00000231790 -> P40692-1	P40692	MLH1_HUMAN	reviewed	DNA mismatch repair protein Mlh1 (MutL protein homolog 1)	MLH1 COCA2	Homo sapiens (Human)	756
ENSP00000348020	ENSP00000348020 -> Q9UHC1-1	Q9UHC1	MLH3_HUMAN	reviewed	DNA mismatch repair protein Mlh3 (MutL protein homolog 3)	MLH3	Homo sapiens (Human)	1453
ENSP00000308351	ENSP00000308351 -> Q8NB16-1	Q8NB16	MLKL_HUMAN	reviewed	Mixed lineage kinase domain-like protein (hMLKL)	MLKL	Homo sapiens (Human)	471
ENSP00000262189	ENSP00000262189 -> Q8NEZ4-1	Q8NEZ4	KMT2C_HUMAN	reviewed	Histone-lysine N-methyltransferase 2C (Lysine N-methyltransferase 2C) (EC 2.1.1.354) (Homologous to ALR protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 3)	KMT2C HALR KIAA1506 MLL3	Homo sapiens (Human)	4911
ENSP00000257745	ENSP00000257745 -> Q8IZD2-1	Q8IZD2	KMT2E_HUMAN	reviewed	Inactive histone-lysine N-methyltransferase 2E (Inactive lysine N-methyltransferase 2E) (Myeloid/lymphoid or mixed-lineage leukemia protein 5)	KMT2E MLL5	Homo sapiens (Human)	1858
ENSP00000252674		Q03111	ENL_HUMAN	reviewed	Protein ENL (YEATS domain-containing protein 1)	MLLT1 ENL LTG19 YEATS1	Homo sapiens (Human)	559
ENSP00000366272	ENSP00000366272 -> P55197-1	P55197	AF10_HUMAN	reviewed	Protein AF-10 (ALL1-fused gene from chromosome 10 protein)	MLLT10 AF10	Homo sapiens (Human)	1068
ENSP00000369695	ENSP00000369695 -> P42568-1	P42568	AF9_HUMAN	reviewed	Protein AF-9 (ALL1-fused gene from chromosome 9 protein) (Myeloid/lymphoid or mixed-lineage leukemia translocated to chromosome 3 protein) (YEATS domain-containing protein 3)	MLLT3 AF9 YEATS3	Homo sapiens (Human)	568
ENSP00000383623	ENSP00000383623 -> P55196-5	P55196	AFAD_HUMAN	reviewed	Afadin (ALL1-fused gene from chromosome 6 protein) (Protein AF-6) (Afadin adherens junction formation factor)	AFDN AF6 MLLT4	Homo sapiens (Human)	1824
ENSP00000264605	ENSP00000264605 -> Q9BV36-1	Q9BV36	MELPH_HUMAN	reviewed	Melanophilin (Exophilin-3) (Slp homolog lacking C2 domains a) (SlaC2-a) (Synaptotagmin-like protein 2a)	MLPH SLAC2A	Homo sapiens (Human)	600
ENSP00000371888	ENSP00000371888 -> Q9BVC4-5	Q9BVC4	LST8_HUMAN	reviewed	Target of rapamycin complex subunit LST8 (TORC subunit LST8) (G protein beta subunit-like) (Gable) (Protein GbetaL) (Mammalian lethal with SEC13 protein 8) (mLST8)	MLST8 GBL LST8	Homo sapiens (Human)	326
ENSP00000246912	ENSP00000246912 -> Q9UH92-1	Q9UH92	MLX_HUMAN	reviewed	Max-like protein X (Class D basic helix-loop-helix protein 13) (bHLHd13) (Max-like bHLHZip protein) (Protein BigMax) (Transcription factor-like protein 4)	MLX BHLHD13 TCFL4	Homo sapiens (Human)	298
ENSP00000312834	ENSP00000312834 -> Q9HAP2-1	Q9HAP2	MLXIP_HUMAN	reviewed	MLX-interacting protein (Class E basic helix-loop-helix protein 36) (bHLHe36) (Transcriptional activator MondoA)	MLXIP BHLHE36 KIAA0867 MIR MONDOA	Homo sapiens (Human)	919
ENSP00000320886	ENSP00000320886 -> Q9NP71-1	Q9NP71	MLXPL_HUMAN	reviewed	Carbohydrate-responsive element-binding protein (ChREBP) (Class D basic helix-loop-helix protein 14) (bHLHd14) (MLX interactor) (MLX-interacting protein-like) (WS basic-helix-loop-helix leucine zipper protein) (WS-bHLH) (Williams-Beuren syndrome chromosomal region 14 protein)	MLXIPL BHLHD14 MIO WBSCR14	Homo sapiens (Human)	852
ENSP00000262430	ENSP00000262430 -> O95822-1	O95822	DCMC_HUMAN	reviewed	Malonyl-CoA decarboxylase, mitochondrial (MCD) (EC 4.1.1.9)	MLYCD	Homo sapiens (Human)	493
ENSP00000353679		P08473	NEP_HUMAN	reviewed	Neprilysin (EC 3.4.24.11) (Atriopeptidase) (Common acute lymphocytic leukemia antigen) (CALLA) (Enkephalinase) (Neutral endopeptidase 24.11) (NEP) (Neutral endopeptidase) (Skin fibroblast elastase) (SFE) (CD antigen CD10)	MME EPN	Homo sapiens (Human)	750
ENSP00000306220	ENSP00000306220 -> Q8N4V1-1	Q8N4V1	MMGT1_HUMAN	reviewed	Membrane magnesium transporter 1 (ER membrane protein complex subunit 5) (Transmembrane protein 32)	MMGT1 EMC5 TMEM32	Homo sapiens (Human)	131
ENSP00000215743		P24347	MMP11_HUMAN	reviewed	Stromelysin-3 (SL-3) (ST3) (EC 3.4.24.-) (Matrix metalloproteinase-11) (MMP-11)	MMP11 STMY3	Homo sapiens (Human)	488
ENSP00000260302		P45452	MMP13_HUMAN	reviewed	Collagenase 3 (EC 3.4.24.-) (Matrix metalloproteinase-13) (MMP-13)	MMP13	Homo sapiens (Human)	471
ENSP00000308208		P50281	MMP14_HUMAN	reviewed	Matrix metalloproteinase-14 (MMP-14) (EC 3.4.24.80) (MMP-X1) (Membrane-type matrix metalloproteinase 1) (MT-MMP 1) (MTMMP1) (Membrane-type-1 matrix metalloproteinase) (MT1-MMP) (MT1MMP)	MMP14	Homo sapiens (Human)	582
ENSP00000286614	ENSP00000286614 -> P51512-1	P51512	MMP16_HUMAN	reviewed	Matrix metalloproteinase-16 (MMP-16) (EC 3.4.24.-) (MMP-X2) (Membrane-type matrix metalloproteinase 3) (MT-MMP 3) (MTMMP3) (Membrane-type-3 matrix metalloproteinase) (MT3-MMP) (MT3MMP)	MMP16 C8orf57 MMPX2	Homo sapiens (Human)	607
ENSP00000353767	ENSP00000353767 -> Q9ULZ9-1	Q9ULZ9	MMP17_HUMAN	reviewed	Matrix metalloproteinase-17 (MMP-17) (EC 3.4.24.-) (Membrane-type matrix metalloproteinase 4) (MT-MMP 4) (MTMMP4) (Membrane-type-4 matrix metalloproteinase) (MT4-MMP) (MT4MMP)	MMP17 MT4MMP	Homo sapiens (Human)	603
ENSP00000219070	ENSP00000219070 -> P08253-1	P08253	MMP2_HUMAN	reviewed	72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Gelatinase A) (Matrix metalloproteinase-2) (MMP-2) (TBE-1) [Cleaved into: PEX]	MMP2 CLG4A	Homo sapiens (Human)	660
ENSP00000246186		Q9Y5R2	MMP24_HUMAN	reviewed	Matrix metalloproteinase-24 (MMP-24) (EC 3.4.24.-) (Membrane-type matrix metalloproteinase 5) (MT-MMP 5) (MTMMP5) (Membrane-type-5 matrix metalloproteinase) (MT5-MMP) (MT5MMP) [Cleaved into: Processed matrix metalloproteinase-24]	MMP24 MT5MMP	Homo sapiens (Human)	645
ENSP00000299855		P08254	MMP3_HUMAN	reviewed	Stromelysin-1 (SL-1) (EC 3.4.24.17) (Matrix metalloproteinase-3) (MMP-3) (Transin-1)	MMP3 STMY1	Homo sapiens (Human)	477
ENSP00000264790	ENSP00000264790 -> Q13201-1	Q13201	MMRN1_HUMAN	reviewed	Multimerin-1 (EMILIN-4) (Elastin microfibril interface located protein 4) (Elastin microfibril interfacer 4) (Endothelial cell multimerin) [Cleaved into: Platelet glycoprotein Ia*; 155 kDa platelet multimerin (p-155) (p155)]	MMRN1 ECM EMILIN4 GPIA* MMRN	Homo sapiens (Human)	1228
ENSP00000359818	ENSP00000359818 -> Q96T76-1	Q96T76	MMS19_HUMAN	reviewed	MMS19 nucleotide excision repair protein homolog (hMMS19) (MET18 homolog) (MMS19-like protein)	MMS19 MMS19L	Homo sapiens (Human)	1030
ENSP00000304956		Q10571	MN1_HUMAN	reviewed	Transcriptional activator MN1 (Probable tumor suppressor protein MN1)	MN1	Homo sapiens (Human)	1320
ENSP00000261245	ENSP00000261245 -> P51948-1	P51948	MAT1_HUMAN	reviewed	CDK-activating kinase assembly factor MAT1 (CDK7/cyclin-H assembly factor) (Cyclin-G1-interacting protein) (Menage a trois) (RING finger protein 66) (RING finger protein MAT1) (p35) (p36)	MNAT1 CAP35 MAT1 RNF66	Homo sapiens (Human)	309
ENSP00000174618		Q99583	MNT_HUMAN	reviewed	Max-binding protein MNT (Class D basic helix-loop-helix protein 3) (bHLHd3) (Myc antagonist MNT) (Protein ROX)	MNT BHLHD3 ROX	Homo sapiens (Human)	582
ENSP00000252971	ENSP00000252971 -> P50219-1	P50219	MNX1_HUMAN	reviewed	Motor neuron and pancreas homeobox protein 1 (Homeobox protein HB9)	MNX1 HLXB9	Homo sapiens (Human)	401
ENSP00000310189	ENSP00000310189 -> Q7L9L4-1	Q7L9L4	MOB1B_HUMAN	reviewed	MOB kinase activator 1B (Mob1 homolog 1A) (Mob1A) (Mob1B) (Mps one binder kinase activator-like 1A)	MOB1B MOB4A MOBKL1A	Homo sapiens (Human)	216
ENSP00000379364	ENSP00000379364 -> Q9H8S9-1	Q9H8S9	MOB1A_HUMAN	reviewed	MOB kinase activator 1A (Mob1 alpha) (Mob1A) (Mob1 homolog 1B) (Mps one binder kinase activator-like 1B)	MOB1A C2orf6 MOB4B MOBK1B MOBKL1B	Homo sapiens (Human)	216
ENSP00000261326		Q96EN8	MOCOS_HUMAN	reviewed	Molybdenum cofactor sulfurase (MCS) (MOS) (MoCo sulfurase) (hMCS) (EC 2.8.1.9) (Molybdenum cofactor sulfurtransferase)	MOCOS	Homo sapiens (Human)	888
ENSP00000259891		Q16653	MOG_HUMAN	reviewed	Myelin-oligodendrocyte glycoprotein	MOG	Homo sapiens (Human)	247
ENSP00000232603	ENSP00000232603 -> Q86VD1-1	Q86VD1	MORC1_HUMAN	reviewed	MORC family CW-type zinc finger protein 1 (Cancer/testis antigen 33) (CT33)	MORC1 MORC	Homo sapiens (Human)	984
ENSP00000383333		Q14149	MORC3_HUMAN	reviewed	MORC family CW-type zinc finger protein 3 (Nuclear matrix protein 2) (Zinc finger CW-type coiled-coil domain protein 3)	MORC3 KIAA0136 NXP2 ZCWCC3	Homo sapiens (Human)	939
ENSP00000347821	ENSP00000347821 -> Q8TE76-1	Q8TE76	MORC4_HUMAN	reviewed	MORC family CW-type zinc finger protein 4 (Zinc finger CW-type coiled-coil domain protein 2) (Zinc finger CW-type domain protein 4)	MORC4 ZCW4 ZCWCC2	Homo sapiens (Human)	937
ENSP00000310722		P00540	MOS_HUMAN	reviewed	Proto-oncogene serine/threonine-protein kinase mos (EC 2.7.11.1) (Oocyte maturation factor mos) (Proto-oncogene c-Mos)	MOS	Homo sapiens (Human)	346
ENSP00000355880	ENSP00000355880 -> Q969Z3-1	Q969Z3	MARC2_HUMAN	reviewed	Mitochondrial amidoxime reducing component 2 (mARC2) (EC 1.7.-.-) (Molybdenum cofactor sulfurase C-terminal domain-containing protein 2) (MOSC domain-containing protein 2) (Moco sulfurase C-terminal domain-containing protein 2)	MTARC2 MARC2 MOSC2	Homo sapiens (Human)	335
ENSP00000223054	ENSP00000223054 -> O75425-1	O75425	MSPD3_HUMAN	reviewed	Motile sperm domain-containing protein 3	MOSPD3	Homo sapiens (Human)	235
ENSP00000350028	ENSP00000350028 -> Q9HCE1-1	Q9HCE1	MOV10_HUMAN	reviewed	Helicase MOV-10 (EC 3.6.4.13) (Armitage homolog) (Moloney leukemia virus 10 protein)	MOV10 KIAA1631	Homo sapiens (Human)	1003
ENSP00000370410	ENSP00000370410 -> O75970-3	O75970	MPDZ_HUMAN	reviewed	Multiple PDZ domain protein (Multi-PDZ domain protein 1)	MPDZ MUPP1	Homo sapiens (Human)	2070
ENSP00000219431	ENSP00000219431 -> P29372-1	P29372	3MG_HUMAN	reviewed	DNA-3-methyladenine glycosylase (EC 3.2.2.21) (3-alkyladenine DNA glycosylase) (3-methyladenine DNA glycosidase) (ADPG) (N-methylpurine-DNA glycosylase)	MPG AAG ANPG MID1	Homo sapiens (Human)	298
ENSP00000244230		O00566	MPP10_HUMAN	reviewed	U3 small nucleolar ribonucleoprotein protein MPP10 (M phase phosphoprotein 10)	MPHOSPH10 MPP10	Homo sapiens (Human)	681
ENSP00000258169		Q99547	MPH6_HUMAN	reviewed	M-phase phosphoprotein 6	MPHOSPH6 MPP6	Homo sapiens (Human)	160
ENSP00000355388	ENSP00000355388 -> Q99549-1	Q99549	MPP8_HUMAN	reviewed	M-phase phosphoprotein 8 (Two hybrid-associated protein 3 with RanBPM) (Twa3)	MPHOSPH8 MPP8	Homo sapiens (Human)	860
ENSP00000361548	ENSP00000361548 -> P40238-1	P40238	TPOR_HUMAN	reviewed	Thrombopoietin receptor (TPO-R) (Myeloproliferative leukemia protein) (Proto-oncogene c-Mpl) (CD antigen CD110)	MPL TPOR	Homo sapiens (Human)	635
ENSP00000225275	ENSP00000225275 -> P05164-1	P05164	PERM_HUMAN	reviewed	Myeloperoxidase (MPO) (EC 1.11.2.2) [Cleaved into: Myeloperoxidase; 89 kDa myeloperoxidase; 84 kDa myeloperoxidase; Myeloperoxidase light chain; Myeloperoxidase heavy chain]	MPO	Homo sapiens (Human)	745
ENSP00000358547	ENSP00000358547 -> Q00013-1	Q00013	EM55_HUMAN	reviewed	55 kDa erythrocyte membrane protein (p55) (Membrane protein, palmitoylated 1)	MPP1 DXS552E EMP55	Homo sapiens (Human)	466
ENSP00000381425		Q13368	MPP3_HUMAN	reviewed	MAGUK p55 subfamily member 3 (Discs large homolog 3) (Protein MPP3)	MPP3 DLG3	Homo sapiens (Human)	585
ENSP00000261681	ENSP00000261681 -> Q8N3R9-1	Q8N3R9	MPP5_HUMAN	reviewed	MAGUK p55 subfamily member 5	MPP5 PALS1	Homo sapiens (Human)	675
ENSP00000222644		Q9NZW5	MPP6_HUMAN	reviewed	MAGUK p55 subfamily member 6 (Veli-associated MAGUK 1) (VAM-1)	MPP6 VAM1	Homo sapiens (Human)	540
ENSP00000379156	ENSP00000379156 -> Q6WCQ1-2	Q6WCQ1	MPRIP_HUMAN	reviewed	Myosin phosphatase Rho-interacting protein (M-RIP) (Rho-interacting protein 3) (RIP3) (p116Rip)	MPRIP KIAA0864 MRIP RHOIP3	Homo sapiens (Human)	1025
ENSP00000352513	ENSP00000352513 -> O95297-1	O95297	MPZL1_HUMAN	reviewed	Myelin protein zero-like protein 1 (Protein zero-related)	MPZL1 PZR UNQ849/PRO1787	Homo sapiens (Human)	269
ENSP00000325863	ENSP00000325863 -> P49959-1	P49959	MRE11_HUMAN	reviewed	Double-strand break repair protein MRE11 (EC 3.1.-.-) (Double-strand break repair protein MRE11A) (Meiotic recombination 11 homolog 1) (MRE11 homolog 1) (Meiotic recombination 11 homolog A) (MRE11 homolog A)	MRE11 HNGS1 MRE11A	Homo sapiens (Human)	708
ENSP00000288937		Q9NRX2	RM17_HUMAN	reviewed	39S ribosomal protein L17, mitochondrial (L17mt) (MRP-L17) (LYST-interacting protein 2) (Mitochondrial large ribosomal subunit protein bL17m)	MRPL17 LIP2	Homo sapiens (Human)	175
ENSP00000377486		P49406	RM19_HUMAN	reviewed	39S ribosomal protein L19, mitochondrial (L19mt) (MRP-L19) (39S ribosomal protein L15, mitochondrial) (L15mt) (MRP-L15) (Mitochondrial large ribosomal subunit protein bL19m)	MRPL19 KIAA0104 MRPL15	Homo sapiens (Human)	292
ENSP00000354525		Q96A35	RM24_HUMAN	reviewed	39S ribosomal protein L24, mitochondrial (L24mt) (MRP-L24) (Mitochondrial large ribosomal subunit protein uL24m)	MRPL24	Homo sapiens (Human)	216
ENSP00000305682	ENSP00000305682 -> Q9NYK5-2	Q9NYK5	RM39_HUMAN	reviewed	39S ribosomal protein L39, mitochondrial (L39mt) (MRP-L39) (39S ribosomal protein L5, mitochondrial) (L5mt) (MRP-L5) (Mitochondrial large ribosomal subunit protein mL39)	MRPL39 C21orf92 MRPL5 RPML5 MSTP003 PRED22	Homo sapiens (Human)	338
ENSP00000357823		Q9BYD2	RM09_HUMAN	reviewed	39S ribosomal protein L9, mitochondrial (L9mt) (MRP-L9) (Mitochondrial large ribosomal subunit protein bL9m)	MRPL9	Homo sapiens (Human)	267
ENSP00000241600		Q9Y399	RT02_HUMAN	reviewed	28S ribosomal protein S2, mitochondrial (MRP-S2) (S2mt) (Mitochondrial small ribosomal subunit protein uS2m)	MRPS2 CGI-91	Homo sapiens (Human)	296
ENSP00000261413	ENSP00000261413 -> Q92552-1	Q92552	RT27_HUMAN	reviewed	28S ribosomal protein S27, mitochondrial (MRP-S27) (S27mt) (Mitochondrial ribosomal protein S27) (Mitochondrial small ribosomal subunit protein mS27)	MRPS27 KIAA0264	Homo sapiens (Human)	414
ENSP00000258455		P82933	RT09_HUMAN	reviewed	28S ribosomal protein S9, mitochondrial (MRP-S9) (S9mt) (Mitochondrial small ribosomal subunit protein uS9m)	MRPS9 RPMS9	Homo sapiens (Human)	396
ENSP00000297908	ENSP00000297908 -> Q96E11-8	Q96E11	RRFM_HUMAN	reviewed	Ribosome-recycling factor, mitochondrial (RRF) (Ribosome-releasing factor, mitochondrial)	MRRF	Homo sapiens (Human)	262
ENSP00000314620	ENSP00000314620 -> P11836-1	P11836	CD20_HUMAN	reviewed	B-lymphocyte antigen CD20 (B-lymphocyte surface antigen B1) (Bp35) (Leukocyte surface antigen Leu-16) (Membrane-spanning 4-domains subfamily A member 1) (CD antigen CD20)	MS4A1 CD20	Homo sapiens (Human)	297
ENSP00000278888		Q01362	FCERB_HUMAN	reviewed	High affinity immunoglobulin epsilon receptor subunit beta (FcERI) (Fc epsilon receptor I beta-chain) (IgE Fc receptor subunit beta) (Membrane-spanning 4-domains subfamily A member 2)	MS4A2 APY FCER1B IGER	Homo sapiens (Human)	244
ENSP00000233146	ENSP00000233146 -> P43246-1	P43246	MSH2_HUMAN	reviewed	DNA mismatch repair protein Msh2 (hMSH2) (MutS protein homolog 2)	MSH2	Homo sapiens (Human)	934
ENSP00000265081		P20585	MSH3_HUMAN	reviewed	DNA mismatch repair protein Msh3 (hMSH3) (Divergent upstream protein) (DUP) (Mismatch repair protein 1) (MRP1)	MSH3 DUC1 DUG	Homo sapiens (Human)	1137
ENSP00000263187		O15457	MSH4_HUMAN	reviewed	MutS protein homolog 4 (hMSH4)	MSH4	Homo sapiens (Human)	936
ENSP00000234420	ENSP00000234420 -> P52701-1	P52701	MSH6_HUMAN	reviewed	DNA mismatch repair protein Msh6 (hMSH6) (G/T mismatch-binding protein) (GTBP) (GTMBP) (MutS protein homolog 6) (MutS-alpha 160 kDa subunit) (p160)	MSH6 GTBP	Homo sapiens (Human)	1360
ENSP00000311827	ENSP00000311827 -> Q9HCI7-1	Q9HCI7	MSL2_HUMAN	reviewed	E3 ubiquitin-protein ligase MSL2 (EC 2.3.2.-) (E3 ubiquitin-protein transferase MSL2) (Male-specific lethal 2-like 1) (MSL2-like 1) (Male-specific lethal-2 homolog) (MSL-2) (Male-specific lethal-2 homolog 1) (RING finger protein 184)	MSL2 KIAA1585 MSL2L1 RNF184	Homo sapiens (Human)	577
ENSP00000312244	ENSP00000312244 -> Q8N5Y2-1	Q8N5Y2	MS3L1_HUMAN	reviewed	Male-specific lethal 3 homolog (Male-specific lethal-3 homolog 1) (Male-specific lethal-3 protein-like 1) (MSL3-like 1)	MSL3 MSL3L1	Homo sapiens (Human)	521
ENSP00000353408		P26038	MOES_HUMAN	reviewed	Moesin (Membrane-organizing extension spike protein)	MSN	Homo sapiens (Human)	577
ENSP00000262101	ENSP00000262101 -> P21757-1	P21757	MSRE_HUMAN	reviewed	Macrophage scavenger receptor types I and II (Macrophage acetylated LDL receptor I and II) (Scavenger receptor class A member 1) (CD antigen CD204)	MSR1 SCARA1	Homo sapiens (Human)	451
ENSP00000347324	ENSP00000347324 -> Q8IXL7-1	Q8IXL7	MSRB3_HUMAN	reviewed	Methionine-R-sulfoxide reductase B3 (MsrB3) (EC 1.8.4.12) (EC 1.8.4.14)	MSRB3 UNQ1965/PRO4487	Homo sapiens (Human)	192
ENSP00000296474	ENSP00000296474 -> Q04912-1	Q04912	RON_HUMAN	reviewed	Macrophage-stimulating protein receptor (MSP receptor) (EC 2.7.10.1) (CDw136) (Protein-tyrosine kinase 8) (p185-Ron) (CD antigen CD136) [Cleaved into: Macrophage-stimulating protein receptor alpha chain; Macrophage-stimulating protein receptor beta chain]	MST1R PTK8 RON	Homo sapiens (Human)	1400
ENSP00000239243		P35548	MSX2_HUMAN	reviewed	Homeobox protein MSX-2 (Homeobox protein Hox-8)	MSX2 HOX8	Homo sapiens (Human)	267
ENSP00000333633	ENSP00000333633 -> Q13330-1	Q13330	MTA1_HUMAN	reviewed	Metastasis-associated protein MTA1	MTA1	Homo sapiens (Human)	715
ENSP00000278823	ENSP00000278823 -> O94776-1	O94776	MTA2_HUMAN	reviewed	Metastasis-associated protein MTA2 (Metastasis-associated 1-like 1) (MTA1-L1 protein) (p53 target protein in deacetylase complex)	MTA2 MTA1L1 PID	Homo sapiens (Human)	668
ENSP00000385045	ENSP00000385045 -> Q9BTC8-2	Q9BTC8	MTA3_HUMAN	reviewed	Metastasis-associated protein MTA3	MTA3 KIAA1266	Homo sapiens (Human)	594
ENSP00000303398	ENSP00000303398 -> Q96DY7-1	Q96DY7	MTBP_HUMAN	reviewed	Mdm2-binding protein (hMTBP)	MTBP	Homo sapiens (Human)	904
ENSP00000362718	ENSP00000362718 -> Q9NZJ7-2	Q9NZJ7	MTCH1_HUMAN	reviewed	Mitochondrial carrier homolog 1 (Presenilin-associated protein)	MTCH1 PSAP CGI-64 UNQ1871/PRO4314	Homo sapiens (Human)	389
ENSP00000303222		Q9Y6C9	MTCH2_HUMAN	reviewed	Mitochondrial carrier homolog 2 (Met-induced mitochondrial protein)	MTCH2 MIMP HSPC032	Homo sapiens (Human)	303
ENSP00000338235		Q86UE4	LYRIC_HUMAN	reviewed	Protein LYRIC (3D3/LYRIC) (Astrocyte elevated gene-1 protein) (AEG-1) (Lysine-rich CEACAM1 co-isolated protein) (Metadherin) (Metastasis adhesion protein)	MTDH AEG1 LYRIC	Homo sapiens (Human)	582
ENSP00000362127		Q14872	MTF1_HUMAN	reviewed	Metal regulatory transcription factor 1 (MRE-binding transcription factor) (Transcription factor MTF-1)	MTF1	Homo sapiens (Human)	753
ENSP00000359321	ENSP00000359321 -> Q9Y483-1	Q9Y483	MTF2_HUMAN	reviewed	Metal-response element-binding transcription factor 2 (Metal regulatory transcription factor 2) (Metal-response element DNA-binding protein M96) (Polycomb-like protein 2) (hPCl2)	MTF2 PCL2	Homo sapiens (Human)	593
ENSP00000262146	ENSP00000262146 -> Q15390-1	Q15390	MTFR1_HUMAN	reviewed	Mitochondrial fission regulator 1 (Chondrocyte protein with a poly-proline region)	MTFR1 CHPPR FAM54A2 KIAA0009	Homo sapiens (Human)	333
ENSP00000216605		P11586	C1TC_HUMAN	reviewed	C-1-tetrahydrofolate synthase, cytoplasmic (C1-THF synthase) [Cleaved into: C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed] [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]	MTHFD1 MTHFC MTHFD	Homo sapiens (Human)	935
ENSP00000365775	ENSP00000365775 -> P42898-1	P42898	MTHR_HUMAN	reviewed	Methylenetetrahydrofolate reductase (EC 1.5.1.20)	MTHFR	Homo sapiens (Human)	656
ENSP00000258874	ENSP00000258874 -> P49914-1	P49914	MTHFS_HUMAN	reviewed	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2) (5,10-methenyl-tetrahydrofolate synthetase) (MTHFS) (Methenyl-THF synthetase)	MTHFS	Homo sapiens (Human)	203
ENSP00000263629		P46199	IF2M_HUMAN	reviewed	Translation initiation factor IF-2, mitochondrial (IF-2(Mt)) (IF-2Mt) (IF2(mt))	MTIF2	Homo sapiens (Human)	727
ENSP00000359417	ENSP00000359417 -> Q13613-1	Q13613	MTMR1_HUMAN	reviewed	Myotubularin-related protein 1 (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64)	MTMR1	Homo sapiens (Human)	665
ENSP00000402537	ENSP00000402537 -> Q9NXD2-1	Q9NXD2	MTMRA_HUMAN	reviewed	Myotubularin-related protein 10 (Inactive phosphatidylinositol 3-phosphatase 10)	MTMR10	Homo sapiens (Human)	777
ENSP00000371577	ENSP00000371577 -> Q9C0I1-1	Q9C0I1	MTMRC_HUMAN	reviewed	Myotubularin-related protein 12 (Inactive phosphatidylinositol 3-phosphatase 12) (Phosphatidylinositol 3 phosphate 3-phosphatase adapter subunit) (3-PAP) (3-phosphatase adapter protein)	MTMR12 KIAA1682 PIP3AP	Homo sapiens (Human)	747
ENSP00000296003	ENSP00000296003 -> Q8NCE2-1	Q8NCE2	MTMRE_HUMAN	reviewed	Myotubularin-related protein 14 (EC 3.1.3.-) (HCV NS5A-transactivated protein 4 splice variant A-binding protein 1) (NS5ATP4ABP1) (hJumpy)	MTMR14 C3orf29	Homo sapiens (Human)	650
ENSP00000345752	ENSP00000345752 -> Q13614-1	Q13614	MTMR2_HUMAN	reviewed	Myotubularin-related protein 2 (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64)	MTMR2 KIAA1073	Homo sapiens (Human)	643
ENSP00000384651	ENSP00000384651 -> Q13615-1	Q13615	MTMR3_HUMAN	reviewed	Myotubularin-related protein 3 (EC 3.1.3.48) (FYVE domain-containing dual specificity protein phosphatase 1) (FYVE-DSP1) (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64) (Zinc finger FYVE domain-containing protein 10)	MTMR3 KIAA0371 ZFYVE10	Homo sapiens (Human)	1198
ENSP00000325285		Q9NYA4	MTMR4_HUMAN	reviewed	Myotubularin-related protein 4 (EC 3.1.3.48) (FYVE domain-containing dual specificity protein phosphatase 2) (FYVE-DSP2) (Zinc finger FYVE domain-containing protein 11)	MTMR4 KIAA0647 ZFYVE11	Homo sapiens (Human)	1195
